movie_id,movie_name,year,genre,overview,director,cast
tt15354916,Jawan,2023,"action, thriller",a high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
tt15748830,Jaane Jaan,2023,"crime, drama, mystery",a single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva"
tt11663228,Jailer,2023,"action, comedy, crime","a retired jailer goes on a manhunt to find his son's killers. but the road leads him to a familiar, albeit a bit darker place. can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"comedy, drama, family","flamboyant punjabi rocky and intellectual bengali journalist rani fall in love despite their differences. after facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
tt15732324,Omg 2,2023,"comedy, drama",an unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra"
tt18266472,Sukhee,2023,drama,"much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila"
tt18561736,The Great Indian Family,2023,family,"ved vyas tripathi, aka bhajan kumar, is a devout hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit"
tt3691740,The Bfg,2016,"adventure, family, fantasy","an orphan little girl befriends a benevolent giant who takes her to giant country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
tt12844910,Pathaan,2023,"action, adventure, thriller","an indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
tt15464390,Mastaney,2023,"action, drama, history","set in 1739, nadar shah's undefeated army was attacked by sikh rebellions. nadar demands to arrest them but it doesn't work out. five ordinary men are hired to play sikh rebellions but over time they learn what sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol"
tt1187043,3 Idiots,2009,"comedy, drama","two friends are searching for their long lost companion. they revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
tt14914988,Satyaprem Ki Katha,2023,"comedy, drama, musical","a middle-class boy in ahmedabad, satyaprem falling in one-sided love with katha, who is coping with her breakup with tapan. through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
tt3741834,Lion,2016,"biography, drama","a five-year-old indian boy is adopted by an australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
tt13131610,Bholaa Shankar,2023,"action, drama",a doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu"
tt22188452,Haddi,2023,"crime, drama","in this zee5 original film, a transgender, haddi moves to delhi and joins a gang of transgenders and cross-dressers headed by an influential man. but is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba"
tt28568397,Friday Night Plan,2023,"comedy, drama","when their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand"
tt21908676,Neeyat,2023,"crime, mystery, thriller","when a mysterious murder takes place at exiled billionaire ashish kapoor's birthday getaway, detective mira rao must use all her skill to unravel devious motives as the suspects are kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi"
tt15441054,Gadar 2,2023,"action, adventure, drama","when tara singh goes missing during a skirmish and is believed to be captured in pakistan, his son jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel"
tt27542289,Por Thozhil,2023,"action, crime, thriller",a bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
tt0454876,Life Of Pi,2012,"adventure, drama, fantasy","a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. while cast away, he forms an unexpected connection with another survivor: a fearsome bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
tt0249371,Asoka,2001,"action, biography, drama",the epic tale of king asoka's life is recounted.,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
tt0838221,The Darjeeling Limited,2007,"adventure, comedy, drama","a year after their father's funeral, three brothers travel across india by train in an attempt to bond with each other.",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
tt5074352,Dangal,2016,"action, biography, drama",former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
